Field Name,Data Element,Prompt
Prostate Volume,prostate_volume,"Tell me what the prostate volume in cubic centimeters is in this report. Return your answer as a JSON with the field name “prostate_volume”.  If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
Most Recent PSA,most_recent_psa,"Tell me the most recent PSA (prostate specific antigen) measurement in this report. Return your answer as a JSON with the field name “most_recent_psa”.  If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
PSA Density,psa_density,"Tell me what the PSA (prostate specific antigen) density is in this report. If the PSA density is not listed in the report, calculate by finding the most recent PSA and divide that by prostate volume. Return your answer as a JSON with the field name “psa_density”. If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
Length of the membranous urethra,length_of_membranous_urethra,"Tell me what the length of the membranous urethra in millimeters is in this report. Return your answer as a JSON with the field name “length_of_membranous_urethra”.  If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
number of possible lesions,number_of_possible_lesions,"Tell me what the number of possible lesions is in this report. Return your answer as a JSON with the field name “number_of_possible_lesions”.  If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
determined number of lesions,number_of_lesions,"Tell me what is the number of lesions in this report. Return your answer as a JSON with the field name “number_of_lesions”.  If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
overall pirads score,overall_pirads_score,"Tell me what is the overall PI-RADS Score in this report. Return your answer as a JSON with the field name “overall_pirads_score”.  If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
pirads version used,pirads_version,"Tell me what is the PI-RADS version in this report. Return your answer as a JSON with the field name “pirads_version”. If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
extracapsular extension,extracapsular_extension,"Tell me whether there is extracapsular extension confirmed or suspected in this report. You may only answer ""1"" for ""yes"" or ""0"" for ""no"". Return your answer as a JSON with the field name “extracapsular_extension”.  If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
seminal vesicle involvement,seminal_vesicle_involvement,"Tell me whether there is seminal vesicle involvement confirmed or suspected in this report.  You may only answer  ""1"" for ""yes"" or ""0"" for ""no"". Return your answer as a JSON with the field name “seminal_vesicle_involvement”.  If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
number of enlarged lymph nodes observed,number_of_enlarged_lymph_nodes,"Tell me what is the number of enlarged lymph nodes found in this report. Return your answer as a JSON with the field name “number_of_enlarged_lymph_nodes”.  If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
Presence of bone lesions?,bone_lesions,"Tell me whether there are bone lesions seen in this report. You may only answer ""1"" for ""yes"" or ""0"" for ""no"". Return your answer as a JSON with the field name “bone_lesions”.  If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
Clinical cancer stage,clinical_cancer_stage,"Tell me what is the clinical cancer stage in this report. Return your answer as a JSON with the field name “clinical_cancer_stage”.  If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
lesion apex left,lesion_apex_left,"If there is at least one lesion mentioned in the report, is there a lesion or cancer present at the left apex of the prostate? Return your answer as ""1"" for ""yes"" or ""0"" for ""no"" in JSON format with the field name “lesion_apex_left”.  If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
lesion mid left,lesion_mid_left,"If there is at least one lesion mentioned in the report, is there a lesion or cancer present at the left middle/mid of the prostate? Return your answer as ""1"" for ""yes"" or ""0"" for ""no"" in JSON format with the field name “lesion_mid_left”.  If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
lesion base left,lesion_base_left,"If there is at least one lesion mentioned in the report, is there a lesion or cancer present at the left base of the prostate? Return your answer as ""1"" for ""yes"" or ""0"" for ""no"" in JSON format with the field name “lesion_base_left”.  If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
lesion apex right,lesion_apex_right,"If there is at least one lesion mentioned in the report, is there a lesion or cancer present at the right apex of the prostate? Return your answer as ""1"" for ""yes"" or ""0"" for ""no"" in JSON format with the field name “lesion_apex_right”.  If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
lesion mid right,lesion_mid_right,"If there is at least one lesion mentioned in the report, is there a lesion or cancer present at the right mid/middle of the prostate? Return your answer as ""1"" for ""yes"" or ""0"" for ""no"" in JSON format with the field name “lesion_mid_right”.  If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
lesion base right,lesion_base_right,"If there is at least one lesion mentioned in the report, is there a lesion or cancer present at the right base of the prostate? Return your answer as ""1"" for ""yes"" or ""0"" for ""no"" in JSON format with the field name “lesion_base_right”.  If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
MRI Coil type,mri_coil_type,"Tell me what kind of coils were used in this report. Return your answer as a JSON with the field name “mri_coil_type”.  If you cannot find the data, return “NA” in the field. Format the field as type character. Do not include units with values, and make all letters lowercase."
